mc,mn,quarterbeats,quarterbeats_all_endings,duration_qb,mc_onset,mn_onset,timesig,staff,voice,duration,nominal_duration,scalar,tied,tpc,midi,name,octave,chord_id,color,time,dur,player,capped,conflicting
7,7,37,37,0.5,1/4,1/4,12/8,1,1,1/8,1/8,1,,5,71,B4,4,80,,12.333333333333323,0,2,False,False
7,7,75/2,75/2,0.5,3/8,3/8,12/8,1,1,1/8,1/8,1,,5,71,B4,4,81,,12.49999999999999,0,2,False,False
7,7,38,38,0.5,1/2,1/2,12/8,1,1,1/8,1/8,1,,5,71,B4,4,82,,12.666666666666655,0,2,False,False
7,7,77/2,77/2,0.5,5/8,5/8,12/8,1,1,1/8,1/8,1,,5,71,B4,4,83,,12.833333333333321,0,2,False,False
7,7,39,39,0.5,3/4,3/4,12/8,1,1,1/8,1/8,1,,0,72,C5,5,84,,12.999999999999988,0,2,False,False
7,7,79/2,79/2,0.5,7/8,7/8,12/8,1,1,1/8,1/8,1,,5,71,B4,4,85,,13.166666666666654,0,2,False,False
7,7,40,40,0.5,1,1,12/8,1,1,1/8,1/8,1,,5,71,B4,4,86,,13.33333333333332,0,2,False,False
7,7,81/2,81/2,0.5,9/8,9/8,12/8,1,1,1/8,1/8,1,,5,71,B4,4,87,,13.499999999999986,0,2,False,False
7,7,41,41,0.5,5/4,5/4,12/8,1,1,1/8,1/8,1,,1,67,G4,4,88,,13.666666666666652,0,5,False,False
7,7,83/2,83/2,0.5,11/8,11/8,12/8,1,1,1/8,1/8,1,,1,67,G4,4,89,,13.833333333333318,0,5,False,False
9,9,46,46,1.0,0,0,4/4,2,1,1/4,1/4,1,,0,48,C3,3,98,,16.083333333333318,0,0,True,False
9,9,47,47,1.0,1/4,1/4,4/4,2,1,1/4,1/4,1,,0,48,C3,3,99,,16.583333333333318,0,0,True,False
9,9,47,47,0.3333333333333333,1/4,1/4,4/4,1,1,1/12,1/8,2/3,,1,67,G4,4,91,,16.583333333333318,0,5,False,False
9,9,142/3,142/3,0.3333333333333333,1/3,1/3,4/4,1,1,1/12,1/8,2/3,,3,69,A4,4,92,,16.749999999999986,0,1,False,False
9,9,143/3,143/3,0.3333333333333333,5/12,5/12,4/4,1,1,1/12,1/8,2/3,,5,71,B4,4,93,,16.916666666666654,0,2,False,False
9,9,48,48,1.0,1/2,1/2,4/4,2,1,1/4,1/4,1,,0,48,C3,3,100,,17.08333333333332,0,0,True,False
9,9,48,48,1.0,1/2,1/2,4/4,1,1,1/4,1/4,1,,5,71,B4,4,94,,17.08333333333332,0,2,False,False
9,9,49,49,1.0,3/4,3/4,4/4,2,1,1/4,1/4,1,,0,48,C3,3,101,,17.58333333333332,0,0,True,False
9,9,49,49,0.3333333333333333,3/4,3/4,4/4,1,1,1/12,1/8,2/3,,1,67,G4,4,95,,17.58333333333332,0,5,False,False
9,9,148/3,148/3,0.3333333333333333,5/6,5/6,4/4,1,1,1/12,1/8,2/3,,3,69,A4,4,96,,17.74999999999999,0,1,False,False
9,9,149/3,149/3,0.3333333333333333,11/12,11/12,4/4,1,1,1/12,1/8,2/3,,5,71,B4,4,97,,17.916666666666657,0,2,False,False
10,10,50,50,1.0,0,0,4/4,2,1,1/4,1/4,1,,1,43,G2,2,107,,18.083333333333325,0,3,True,False
10,10,50,50,0.6666666666666666,0,0,4/4,1,1,1/6,1/4,2/3,,5,71,B4,4,102,,18.083333333333325,0,2,False,False
10,10,152/3,152/3,0.3333333333333333,1/6,1/6,4/4,1,1,1/12,1/8,2/3,,3,69,A4,4,103,,18.416666666666657,0,1,False,False
10,10,51,51,1.0,1/4,1/4,4/4,2,1,1/4,1/4,1,,1,43,G2,2,108,,18.583333333333325,0,3,True,False
10,10,155/3,155/3,0.3333333333333333,5/12,5/12,4/4,1,1,1/12,1/8,2/3,,2,74,D5,5,104,,18.916666666666657,0,1,False,False
